data;GraphPad Prism;Rstudio;spss
2004-01;0;0;55
2004-02;0;0;54
2004-03;0;0;66
2004-04;0;0;66
2004-05;0;0;100
2004-06;0;0;74
2004-07;0;0;72
2004-08;0;0;51
2004-09;0;0;61
2004-10;0;29;81
2004-11;0;0;77
2004-12;0;0;80
2005-01;0;35;52
2005-02;0;36;64
2005-03;0;0;64
2005-04;0;0;93
2005-05;0;32;90
2005-06;0;25;77
2005-07;0;0;59
2005-08;0;0;65
2005-09;0;18;66
2005-10;0;15;84
2005-11;0;0;66
2005-12;0;0;54
2006-01;15;0;53
2006-02;0;0;48
2006-03;0;23;45
2006-04;0;14;63
2006-05;0;14;58
2006-06;0;14;59
2006-07;0;22;52
2006-08;11;18;57
2006-09;0;20;38
2006-10;0;17;58
2006-11;0;18;52
2006-12;0;17;36
2007-01;0;24;42
2007-02;0;27;46
2007-03;0;20;35
2007-04;0;24;45
2007-05;0;27;47
2007-06;0;25;54
2007-07;0;30;44
2007-08;0;15;44
2007-09;0;28;44
2007-10;4;23;49
2007-11;0;23;43
2007-12;0;24;33
2008-01;0;29;31
2008-02;0;22;35
2008-03;0;28;36
2008-04;0;23;40
2008-05;5;22;44
2008-06;0;24;47
2008-07;0;23;38
2008-08;0;20;39
2008-09;0;18;41
2008-10;4;26;39
2008-11;0;20;45
2008-12;0;25;26
2009-01;0;24;27
2009-02;0;24;29
2009-03;0;20;35
2009-04;0;21;34
2009-05;0;17;42
2009-06;0;20;41
2009-07;4;14;33
2009-08;0;14;37
2009-09;4;14;40
2009-10;3;15;42
2009-11;0;16;41
2009-12;0;15;30
2010-01;0;16;26
2010-02;0;11;26
2010-03;3;10;31
2010-04;0;10;35
2010-05;0;11;41
2010-06;4;12;38
2010-07;4;9;26
2010-08;4;11;34
2010-09;0;8;34
2010-10;0;7;36
2010-11;3;11;37
2010-12;0;8;27
2011-01;2;8;18
2011-02;2;6;22
2011-03;2;6;24
2011-04;3;8;26
2011-05;2;8;33
2011-06;2;7;31
2011-07;3;7;23
2011-08;3;6;26
2011-09;2;6;25
2011-10;2;7;29
2011-11;2;5;28
2011-12;2;5;21
2012-01;1;7;21
2012-02;3;6;21
2012-03;2;8;22
2012-04;2;8;23
2012-05;2;8;27
2012-06;2;6;28
2012-07;3;7;22
2012-08;3;6;26
2012-09;2;7;24
2012-10;3;7;24
2012-11;2;7;25
2012-12;2;8;19
2013-01;2;9;19
2013-02;2;8;20
2013-03;2;9;21
2013-04;2;9;24
2013-05;2;9;23
2013-06;2;8;24
2013-07;2;7;22
2013-08;2;9;24
2013-09;2;8;20
2013-10;2;8;23
2013-11;2;9;24
2013-12;1;8;18
2014-01;2;7;17
2014-02;1;8;19
2014-03;2;8;19
2014-04;2;9;20
2014-05;1;7;21
2014-06;3;8;19
2014-07;2;8;20
2014-08;1;9;18
2014-09;2;10;22
2014-10;2;8;22
2014-11;2;9;24
2014-12;2;8;17
2015-01;2;7;16
2015-02;1;7;17
2015-03;2;10;18
2015-04;2;10;22
2015-05;2;9;24
2015-06;2;11;22
2015-07;2;8;20
2015-08;2;11;18
2015-09;2;10;19
2015-10;1;10;21
2015-11;1;9;20
2015-12;1;8;14
2016-01;1;6;14
2016-02;2;7;16
2016-03;1;10;15
2016-04;2;10;18
2016-05;1;10;19
2016-06;2;9;20
2016-07;2;8;16
2016-08;2;10;16
2016-09;2;10;17
2016-10;2;10;20
2016-11;0;12;18
2016-12;0;9;13
2017-01;0;9;12
2017-02;0;10;14
2017-03;0;12;17
2017-04;0;13;18
2017-05;0;13;19
2017-06;0;13;18
2017-07;0;12;14
2017-08;0;13;15
2017-09;0;12;14
2017-10;0;11;18
2017-11;0;12;18
2017-12;0;11;12
2018-01;0;9;11
2018-02;0;10;11
2018-03;0;15;15
2018-04;1;14;15
2018-05;1;16;16
2018-06;1;13;15
2018-07;1;12;13
2018-08;1;14;15
2018-09;0;14;14
2018-10;0;13;15
2018-11;0;13;16
2018-12;0;11;11
2019-01;0;8;8
2019-02;0;11;11
2019-03;0;14;12
2019-04;1;15;12
2019-05;2;16;13
2019-06;1;15;14
2019-07;2;14;12
2019-08;2;17;12
2019-09;2;15;11
2019-10;2;17;12
2019-11;1;15;13
2019-12;1;12;8
2020-01;1;11;7
2020-02;1;11;9
2020-03;1;16;10
2020-04;1;13;9
2020-05;1;13;10
2020-06;1;14;10
2020-07;1;13;10
2020-08;1;14;9
2020-09;1;15;9
2020-10;1;12;9
2020-11;1;10;7
2020-12;1;8;6
2021-01;1;8;6
2021-02;1;9;6
2021-03;1;11;7
2021-04;1;11;7
2021-05;1;12;7
2021-06;1;12;7
2021-07;1;10;6
2021-08;1;9;6
2021-09;1;11;7
2021-10;2;8;6
2021-11;1;11;7
2021-12;1;9;5
2022-01;2;12;7
2022-02;2;16;7
2022-03;2;19;8
2022-04;2;22;7
2022-05;2;23;9
2022-06;2;20;8
2022-07;2;20;8
2022-08;2;19;8
2022-09;3;19;8
2022-10;2;18;8
2022-11;3;20;7
2022-12;2;17;6
2023-01;2;16;6
2023-02;3;17;6
2023-03;2;21;8
2023-04;1;21;8
2023-05;2;22;8
2023-06;2;20;8
2023-07;2;17;7
2023-08;1;19;8
2023-09;2;20;8
2023-10;2;19;9
2023-11;2;20;8
2023-12;1;15;6
2024-01;1;14;7
2024-02;2;17;7
2024-03;1;21;8
2024-04;1;21;9
2024-05;2;19;8
2024-06;2;18;9
2024-07;1;16;7
